iter	Logloss
0	0.640940533
1	0.624217639
2	0.6131101578
3	0.6034973617
4	0.5965416243
5	0.5820396979
6	0.5780821118
7	0.5746063233
8	0.5723628366
9	0.5702731887
10	0.5657226834
11	0.564719814
12	0.5639033601
13	0.5616501334
14	0.5610660501
15	0.5606348545
16	0.5593914491
17	0.5591037896
18	0.5588573013
19	0.558583237
20	0.5583929066
21	0.5578172439
22	0.5576247097
23	0.557164954
24	0.5570368295
25	0.5568705489
26	0.5567152218
27	0.5564251783
28	0.5561983264
29	0.5561087508
30	0.5560369997
31	0.5559772461
32	0.5558581707
33	0.5557932857
34	0.5557609573
35	0.5556863164
36	0.5555057532
37	0.5554458509
38	0.5553547853
39	0.5552413084
40	0.5551695957
41	0.5551013916
42	0.5550193594
43	0.5549184617
44	0.5548323132
45	0.5547706275
46	0.554669893
47	0.5545248303
48	0.5544331758
49	0.5543811358
50	0.554304085
51	0.5542013542
52	0.554104886
53	0.5539824258
54	0.5539412829
55	0.5538914888
56	0.5538365941
57	0.5537151906
58	0.5536579519
59	0.5535362788
60	0.5534538665
61	0.5534066737
62	0.553296226
63	0.553184039
64	0.5531312083
65	0.5530508954
66	0.5529830816
67	0.5528929369
68	0.5528566101
69	0.5527777421
70	0.5526876934
71	0.5526207172
72	0.5525659773
73	0.552531008
74	0.552371327
75	0.5523156199
76	0.5522635014
77	0.5521866737
78	0.5520650013
79	0.5520111074
80	0.551883328
81	0.5518260523
82	0.5517099341
83	0.5516623822
84	0.5515641811
85	0.5514623433
86	0.5514268997
87	0.5513207356
88	0.5512446145
89	0.5512086473
90	0.551147688
91	0.5510037858
92	0.5509229254
93	0.5507928914
94	0.5507362898
95	0.5506412974
96	0.5506049691
97	0.5505475526
98	0.5504886615
99	0.550398274
100	0.5503235607
101	0.5502820034
102	0.5502299733
103	0.5501640458
104	0.5501247784
105	0.5500555554
106	0.5499588558
107	0.5498853491
108	0.5497742104
109	0.5497002925
110	0.5495781739
111	0.5495411864
112	0.5494315452
113	0.5493846716
114	0.5492815746
115	0.5492364437
116	0.5491124238
117	0.5490500914
118	0.5489932984
119	0.5488850365
120	0.5487676646
121	0.5486486966
122	0.5485216229
123	0.5483609259
124	0.5482675836
125	0.548193663
126	0.5481253318
127	0.5480097244
128	0.5479357139
129	0.5478616433
130	0.5477776218
131	0.54771236
132	0.5476276072
133	0.5475022631
134	0.5474024689
135	0.5473241069
136	0.547209128
137	0.5471207675
138	0.5470481164
139	0.5469693493
140	0.5468516325
141	0.5467668972
142	0.5465990014
143	0.5465464183
144	0.546423863
145	0.546327114
146	0.5462288979
147	0.5461725459
148	0.5460127342
149	0.545880013
150	0.545800488
151	0.545715824
152	0.545593924
153	0.5454667679
154	0.5453454132
155	0.5452926955
156	0.5451800893
157	0.5450324285
158	0.5449868449
159	0.5449313259
160	0.5448172634
161	0.5447758855
162	0.5446596959
163	0.5445735846
164	0.5445124121
165	0.5444083303
166	0.5442842751
167	0.5442185857
168	0.5441572321
169	0.5440851527
170	0.5440060958
171	0.543879356
172	0.5437661175
173	0.543669229
174	0.5435551311
175	0.5434487542
176	0.5432957851
177	0.54321039
178	0.543095414
179	0.5430195827
180	0.5429426482
181	0.542857519
182	0.5428247496
183	0.5427787057
184	0.5427157991
185	0.5426469272
186	0.542592055
187	0.5424865593
188	0.5424019348
189	0.5423076471
190	0.5422147559
191	0.5421488091
192	0.5419931375
193	0.541870462
194	0.5418362387
195	0.5417160742
196	0.5416739384
197	0.5416253583
198	0.5415235877
199	0.541461422
