iter	Passed	Remaining
0	184	36795
1	207	20584
2	230	15130
3	251	12299
4	272	10617
5	296	9577
6	318	8773
7	340	8173
8	356	7556
9	380	7229
10	403	6925
11	430	6747
12	452	6505
13	477	6345
14	499	6158
15	520	5983
16	541	5834
17	561	5674
18	581	5537
19	602	5425
20	625	5328
21	645	5225
22	666	5128
23	687	5041
24	708	4958
25	728	4877
26	748	4795
27	768	4721
28	788	4650
29	810	4593
30	829	4519
31	849	4457
32	871	4408
33	892	4356
34	908	4283
35	931	4241
36	954	4206
37	976	4161
38	1001	4132
39	1025	4102
40	1046	4058
41	1075	4045
42	1107	4042
43	1135	4024
44	1165	4014
45	1197	4009
46	1227	3997
47	1272	4030
48	1304	4021
49	1332	3996
50	1362	3980
51	1392	3962
52	1422	3945
53	1449	3919
54	1478	3896
55	1507	3877
56	1535	3851
57	1566	3835
58	1585	3790
59	1606	3748
60	1627	3708
61	1650	3673
62	1671	3635
63	1691	3594
64	1714	3561
65	1734	3520
66	1754	3482
67	1774	3444
68	1795	3408
69	1815	3371
70	1835	3334
71	1854	3296
72	1878	3267
73	1898	3231
74	1923	3206
75	1948	3178
76	1972	3150
77	1995	3120
78	2018	3091
79	2043	3064
80	2064	3033
81	2091	3010
82	2115	2982
83	2146	2963
84	2175	2943
85	2200	2916
86	2227	2892
87	2248	2861
88	2270	2832
89	2290	2799
90	2310	2767
91	2329	2735
92	2348	2702
93	2374	2677
94	2394	2646
95	2413	2614
96	2435	2586
97	2455	2556
98	2474	2524
99	2494	2494
100	2514	2464
101	2537	2437
102	2558	2409
103	2577	2379
104	2597	2349
105	2619	2322
106	2639	2294
107	2662	2268
108	2685	2241
109	2710	2218
110	2732	2190
111	2753	2163
112	2773	2135
113	2792	2106
114	2813	2079
115	2834	2052
116	2853	2024
117	2873	1996
118	2893	1969
119	2915	1943
120	2935	1916
121	2955	1889
122	2975	1862
123	2997	1837
124	3018	1811
125	3037	1784
126	3057	1757
127	3077	1731
128	3097	1704
129	3117	1678
130	3136	1652
131	3156	1626
132	3180	1602
133	3202	1577
134	3222	1551
135	3246	1527
136	3267	1502
137	3288	1477
138	3315	1454
139	3342	1432
140	3370	1410
141	3399	1388
142	3423	1364
143	3452	1342
144	3480	1320
145	3503	1295
146	3529	1272
147	3548	1246
148	3569	1221
149	3590	1196
150	3612	1172
151	3632	1147
152	3652	1122
153	3674	1097
154	3696	1073
155	3715	1048
156	3735	1023
157	3757	998
158	3776	973
159	3796	949
160	3815	924
161	3833	899
162	3853	874
163	3874	850
164	3896	826
165	3916	802
166	3935	777
167	3956	753
168	3975	729
169	3995	705
170	4014	680
171	4034	656
172	4056	633
173	4076	609
174	4096	585
175	4116	561
176	4138	537
177	4174	515
178	4193	492
179	4213	468
180	4233	444
181	4254	420
182	4274	397
183	4294	373
184	4313	349
185	4332	326
186	4353	302
187	4373	279
188	4395	255
189	4415	232
190	4438	209
191	4457	185
192	4476	162
193	4495	139
194	4513	115
195	4536	92
196	4554	69
197	4573	46
198	4594	23
199	4613	0
